event_id,timestamp,developer_id,activity_type,language,duration_seconds
IDE08979,2026-08-01 10:23:00,DEV152,debugging,TypeScript,208
IDE09613,2026-08-01 10:25:00,DEV189,testing,TypeScript,400
IDE03215,2026-08-01 10:31:00,DEV284,terminal,SQL,1395
IDE00449,2026-08-01 10:36:00,DEV226,terminal,Python,1782
IDE04434,2026-08-01 10:39:00,DEV403,terminal,Python,271
IDE08326,2026-08-01 10:39:00,DEV309,testing,JavaScript,1126
IDE00296,2026-08-01 10:41:00,DEV135,file_open,Java,670
IDE09984,2026-08-01 10:41:00,DEV373,terminal,Java,65
IDE07931,2026-08-01 10:47:00,DEV119,testing,SQL,1177
IDE04029,2026-08-01 10:48:00,DEV201,idle,SQL,657
IDE00520,2026-08-01 10:50:00,DEV474,testing,Java,346
IDE06790,2026-08-01 10:50:00,DEV353,coding,Python,524
IDE00271,2026-08-01 10:51:00,DEV248,file_open,Java,446
IDE05006,2026-08-01 10:53:00,DEV294,coding,Java,291
IDE07436,2026-08-01 10:53:00,DEV114,file_open,Java,951
IDE07884,2026-08-01 10:53:00,DEV075,debugging,SQL,487
IDE08693,2026-08-01 10:53:00,DEV204,terminal,SQL,494
IDE09933,2026-08-01 10:53:00,DEV225,testing,TypeScript,1445
IDE06826,2026-08-01 10:54:00,DEV246,debugging,Python,704
IDE00317,2026-08-01 10:55:00,DEV451,file_open,Python,573
IDE05464,2026-08-01 10:56:00,DEV417,debugging,JavaScript,1457
IDE03692,2026-08-01 11:02:00,DEV201,coding,Python,1369
IDE00157,2026-08-01 11:04:00,DEV497,terminal,SQL,902
IDE02576,2026-08-01 11:07:00,DEV325,testing,TypeScript,970
IDE03150,2026-08-01 11:08:00,DEV293,debugging,TypeScript,1737
IDE08221,2026-08-01 11:08:00,DEV338,file_open,Java,556
IDE06186,2026-08-01 11:11:00,DEV332,file_open,JavaScript,202
IDE08378,2026-08-01 11:11:00,DEV097,terminal,Python,1477
IDE01235,2026-08-01 11:12:00,DEV498,coding,SQL,801
IDE05204,2026-08-01 11:12:00,DEV340,terminal,Java,1038
IDE02964,2026-08-01 11:16:00,DEV155,testing,Java,1350
IDE09365,2026-08-01 11:18:00,DEV065,testing,SQL,313
IDE03851,2026-08-01 11:19:00,DEV012,coding,TypeScript,842
IDE00290,2026-08-01 11:21:00,DEV018,debugging,SQL,598
IDE05209,2026-08-01 11:25:00,DEV171,debugging,TypeScript,1575
IDE08673,2026-08-01 11:25:00,DEV334,terminal,TypeScript,1663
IDE02651,2026-08-01 11:31:00,DEV174,idle,SQL,1797
IDE05095,2026-08-01 11:34:00,DEV336,file_open,TypeScript,1173
IDE05476,2026-08-01 11:34:00,DEV360,idle,Java,725
IDE02942,2026-08-01 11:35:00,DEV103,testing,SQL,661
IDE03971,2026-08-01 11:35:00,DEV327,testing,TypeScript,978
IDE09917,2026-08-01 11:35:00,DEV405,terminal,JavaScript,1738
IDE07405,2026-08-01 11:41:00,DEV465,idle,TypeScript,734
IDE00731,2026-08-01 11:42:00,DEV365,idle,Java,1010
IDE09605,2026-08-01 11:43:00,DEV034,coding,JavaScript,962
IDE02226,2026-08-01 11:44:00,DEV401,file_open,Python,84
IDE00913,2026-08-01 11:45:00,DEV124,file_open,TypeScript,451
IDE00041,2026-08-01 11:47:00,DEV171,file_open,Python,1127
IDE05139,2026-08-01 11:47:00,DEV382,terminal,JavaScript,625
IDE08007,2026-08-01 11:47:00,DEV333,coding,TypeScript,357
IDE09308,2026-08-01 11:52:00,DEV248,coding,SQL,1740
IDE02236,2026-08-01 11:53:00,DEV179,testing,JavaScript,1216
IDE05100,2026-08-01 11:54:00,DEV278,testing,Python,100
IDE05907,2026-08-01 11:54:00,DEV376,coding,JavaScript,769
IDE04469,2026-08-01 11:57:00,DEV379,testing,SQL,1724
IDE00189,2026-08-01 11:58:00,DEV089,debugging,TypeScript,513
IDE00593,2026-08-01 11:59:00,DEV326,file_open,SQL,836
IDE01911,2026-08-01 12:00:00,DEV367,file_open,JavaScript,1192
IDE04938,2026-08-01 12:02:00,DEV438,testing,TypeScript,1399
IDE06874,2026-08-01 12:03:00,DEV053,file_open,SQL,716
IDE07475,2026-08-01 12:06:00,DEV126,coding,Python,917
IDE08879,2026-08-01 12:08:00,DEV270,terminal,TypeScript,900
IDE04744,2026-08-01 12:11:00,DEV393,idle,Java,250
IDE09116,2026-08-01 12:11:00,DEV393,file_open,JavaScript,629
IDE06738,2026-08-01 12:12:00,DEV014,file_open,SQL,1571
IDE06357,2026-08-01 12:16:00,DEV342,debugging,TypeScript,1475
IDE09500,2026-08-01 12:19:00,DEV059,testing,SQL,769
IDE01199,2026-08-01 12:20:00,DEV412,debugging,SQL,1140
IDE03615,2026-08-01 12:20:00,DEV415,idle,Python,1392
IDE02468,2026-08-01 12:22:00,DEV208,idle,JavaScript,1477
IDE05927,2026-08-01 12:26:00,DEV275,testing,TypeScript,347
IDE02278,2026-08-01 12:28:00,DEV060,idle,SQL,1108
IDE00372,2026-08-01 12:34:00,DEV358,testing,Java,128
IDE06947,2026-08-01 12:34:00,DEV105,coding,Java,1381
IDE08583,2026-08-01 12:35:00,DEV308,testing,JavaScript,1254
IDE08185,2026-08-01 12:37:00,DEV187,testing,JavaScript,354
IDE08867,2026-08-01 12:37:00,DEV202,debugging,JavaScript,583
IDE08475,2026-08-01 12:38:00,DEV396,terminal,JavaScript,400
IDE04087,2026-08-01 12:39:00,DEV350,file_open,JavaScript,1616
IDE04504,2026-08-01 12:40:00,DEV263,coding,SQL,927
IDE01935,2026-08-01 12:43:00,DEV033,debugging,Java,1360
IDE05563,2026-08-01 12:43:00,DEV158,idle,JavaScript,37
IDE00207,2026-08-01 12:44:00,DEV235,testing,SQL,1360
IDE03968,2026-08-01 12:48:00,DEV100,testing,JavaScript,1004
IDE07910,2026-08-01 12:49:00,DEV240,file_open,Java,476
IDE09473,2026-08-01 12:51:00,DEV476,testing,TypeScript,1543
IDE05974,2026-08-01 12:52:00,DEV429,file_open,Python,541
IDE08628,2026-08-01 12:56:00,DEV021,terminal,SQL,1457
IDE00292,2026-08-01 12:58:00,DEV191,terminal,Java,1674
IDE00407,2026-08-01 12:58:00,DEV269,debugging,TypeScript,1607
IDE08680,2026-08-01 13:05:00,DEV256,debugging,SQL,1798
IDE02007,2026-08-01 13:08:00,DEV148,testing,Python,1412
IDE06229,2026-08-01 13:09:00,DEV498,terminal,Java,1677
IDE06089,2026-08-01 13:11:00,DEV366,file_open,JavaScript,1296
IDE08729,2026-08-01 13:17:00,DEV160,terminal,Python,202
IDE03688,2026-08-01 13:21:00,DEV440,debugging,TypeScript,864
IDE06196,2026-08-01 13:21:00,DEV098,testing,TypeScript,1542
IDE03980,2026-08-01 13:23:00,DEV137,idle,Python,272
IDE07112,2026-08-01 13:26:00,DEV243,debugging,JavaScript,394
IDE04382,2026-08-01 13:28:00,DEV294,file_open,JavaScript,77
IDE08581,2026-08-01 13:34:00,DEV148,terminal,TypeScript,1355
IDE09676,2026-08-01 13:34:00,DEV457,idle,Java,256
IDE09760,2026-08-01 13:36:00,DEV055,file_open,JavaScript,563
IDE00686,2026-08-01 13:44:00,DEV381,coding,TypeScript,368
IDE01373,2026-08-01 13:44:00,DEV443,file_open,Python,1646
IDE05465,2026-08-01 13:45:00,DEV188,testing,TypeScript,1664
IDE05680,2026-08-01 13:45:00,DEV088,idle,SQL,151
IDE08874,2026-08-01 13:48:00,DEV243,terminal,JavaScript,1194
IDE07838,2026-08-01 13:56:00,DEV234,coding,JavaScript,1061
IDE03809,2026-08-01 14:00:00,DEV134,debugging,Java,461
IDE03978,2026-08-01 14:00:00,DEV030,testing,TypeScript,193
IDE02774,2026-08-01 14:02:00,DEV422,idle,Java,918
IDE00213,2026-08-01 14:03:00,DEV363,testing,Java,869
IDE03036,2026-08-01 14:03:00,DEV053,debugging,Python,71
IDE00067,2026-08-01 14:06:00,DEV483,file_open,JavaScript,152
IDE00647,2026-08-01 14:06:00,DEV485,idle,Python,1087
IDE01757,2026-08-01 14:10:00,DEV189,debugging,JavaScript,921
IDE07750,2026-08-01 14:11:00,DEV499,file_open,Java,467
IDE06754,2026-08-01 14:20:00,DEV032,idle,TypeScript,1125
IDE07839,2026-08-01 14:22:00,DEV406,idle,TypeScript,723
IDE05135,2026-08-01 14:24:00,DEV112,idle,JavaScript,1649
IDE06859,2026-08-01 14:25:00,DEV469,terminal,TypeScript,1682
IDE02346,2026-08-01 14:28:00,DEV418,idle,Java,217
IDE06312,2026-08-01 14:29:00,DEV294,terminal,Java,1710
IDE01937,2026-08-01 14:30:00,DEV096,terminal,Python,177
IDE02193,2026-08-01 14:30:00,DEV375,testing,TypeScript,282
IDE05422,2026-08-01 14:30:00,DEV159,file_open,JavaScript,522
IDE05399,2026-08-01 14:31:00,DEV052,debugging,JavaScript,946
IDE01315,2026-08-01 14:32:00,DEV195,file_open,Python,692
IDE04350,2026-08-01 14:32:00,DEV450,idle,Java,1510
IDE03058,2026-08-01 14:33:00,DEV122,file_open,Python,1224
IDE04468,2026-08-01 14:39:00,DEV128,file_open,Java,889
IDE06433,2026-08-01 14:43:00,DEV456,testing,JavaScript,372
IDE07683,2026-08-01 14:44:00,DEV339,coding,JavaScript,562
IDE00962,2026-08-01 14:50:00,DEV075,coding,TypeScript,624
IDE06000,2026-08-01 14:50:00,DEV224,coding,Python,636
IDE00124,2026-08-01 14:51:00,DEV194,file_open,Python,1491
IDE00951,2026-08-01 14:52:00,DEV022,file_open,Java,1076
IDE06142,2026-08-01 14:53:00,DEV452,coding,Python,954
IDE00156,2026-08-01 14:55:00,DEV465,file_open,Java,794
IDE00602,2026-08-01 14:55:00,DEV359,testing,TypeScript,1656
IDE01946,2026-08-01 14:56:00,DEV120,testing,Python,295
IDE04269,2026-08-01 14:59:00,DEV229,idle,SQL,1703
IDE06195,2026-08-01 14:59:00,DEV245,file_open,JavaScript,633
IDE06280,2026-08-01 14:59:00,DEV329,file_open,Java,248
IDE02030,2026-08-01 15:00:00,DEV085,coding,SQL,785
IDE05656,2026-08-01 15:00:00,DEV160,debugging,TypeScript,323
IDE06036,2026-08-01 15:07:00,DEV318,testing,Java,1161
IDE07660,2026-08-01 15:08:00,DEV137,idle,JavaScript,1116
IDE09611,2026-08-01 15:08:00,DEV469,idle,TypeScript,1677
IDE05410,2026-08-01 15:09:00,DEV476,idle,SQL,786
IDE08537,2026-08-01 15:12:00,DEV306,file_open,JavaScript,57
IDE03019,2026-08-01 15:13:00,DEV499,testing,Java,1276
IDE03098,2026-08-01 15:13:00,DEV383,debugging,SQL,44
IDE01979,2026-08-01 15:14:00,DEV295,file_open,TypeScript,1732
IDE03526,2026-08-01 15:14:00,DEV415,debugging,TypeScript,1786
IDE09183,2026-08-01 15:14:00,DEV417,idle,SQL,1095
IDE01540,2026-08-01 15:15:00,DEV197,testing,Java,1514
IDE02946,2026-08-01 15:16:00,DEV441,idle,Python,1165
IDE04095,2026-08-01 15:17:00,DEV196,idle,SQL,1513
IDE04181,2026-08-01 15:18:00,DEV326,terminal,SQL,287
IDE07285,2026-08-01 15:19:00,DEV062,file_open,Java,865
IDE09439,2026-08-01 15:20:00,DEV205,idle,JavaScript,715
IDE02883,2026-08-01 15:24:00,DEV246,idle,SQL,612
IDE01278,2026-08-01 15:38:00,DEV087,coding,SQL,1387
IDE04788,2026-08-01 15:38:00,DEV468,file_open,SQL,1411
IDE09573,2026-08-01 15:51:00,DEV086,debugging,TypeScript,441
IDE06098,2026-08-01 15:55:00,DEV214,debugging,Java,1307
IDE00199,2026-08-01 15:56:00,DEV492,coding,SQL,714
IDE07696,2026-08-01 15:59:00,DEV006,terminal,SQL,914
IDE03804,2026-08-01 16:02:00,DEV350,debugging,TypeScript,1050
IDE04186,2026-08-01 16:02:00,DEV055,coding,SQL,1644
IDE03941,2026-08-01 16:03:00,DEV191,idle,TypeScript,428
IDE00710,2026-08-01 16:04:00,DEV215,coding,TypeScript,1338
IDE06106,2026-08-01 16:04:00,DEV210,terminal,Python,848
IDE04535,2026-08-01 16:07:00,DEV186,terminal,Python,1004
IDE06138,2026-08-01 16:07:00,DEV227,file_open,Python,1749
IDE03425,2026-08-01 16:08:00,DEV401,coding,Java,107
IDE05682,2026-08-01 16:08:00,DEV105,file_open,JavaScript,422
IDE06238,2026-08-01 16:09:00,DEV107,debugging,Python,1057
IDE08091,2026-08-01 16:12:00,DEV235,coding,Python,264
IDE02596,2026-08-01 16:16:00,DEV285,file_open,JavaScript,1063
IDE00563,2026-08-01 16:17:00,DEV233,terminal,TypeScript,1529
IDE03396,2026-08-01 16:18:00,DEV129,coding,Java,248
IDE07517,2026-08-01 16:22:00,DEV326,idle,SQL,402
IDE00901,2026-08-01 16:23:00,DEV362,file_open,TypeScript,823
IDE02122,2026-08-01 16:28:00,DEV213,terminal,Java,1357
IDE08998,2026-08-01 16:29:00,DEV280,terminal,TypeScript,1369
IDE00870,2026-08-01 16:31:00,DEV408,debugging,Java,1006
IDE06231,2026-08-01 16:37:00,DEV075,debugging,SQL,509
IDE01726,2026-08-01 16:38:00,DEV183,terminal,TypeScript,1431
IDE09798,2026-08-01 16:39:00,DEV121,idle,Java,1454
IDE00920,2026-08-01 16:44:00,DEV373,idle,Java,1491
IDE08905,2026-08-01 16:45:00,DEV456,terminal,Python,1316
IDE01735,2026-08-01 16:49:00,DEV301,debugging,TypeScript,863
IDE00829,2026-08-01 16:53:00,DEV205,file_open,TypeScript,856
IDE02516,2026-08-01 16:55:00,DEV440,debugging,Java,1101
IDE02736,2026-08-01 16:56:00,DEV083,terminal,SQL,638
IDE01072,2026-08-01 16:57:00,DEV480,testing,JavaScript,1219
IDE00560,2026-08-01 16:59:00,DEV340,terminal,Python,812
IDE04566,2026-08-01 17:00:00,DEV114,testing,TypeScript,1682
IDE03236,2026-08-01 17:01:00,DEV008,coding,SQL,733
IDE04067,2026-08-01 17:01:00,DEV044,file_open,JavaScript,1133
IDE02888,2026-08-01 17:04:00,DEV018,terminal,SQL,1420
IDE01100,2026-08-01 17:05:00,DEV195,idle,Python,1219
IDE02130,2026-08-01 17:08:00,DEV299,terminal,Python,319
IDE03572,2026-08-01 17:12:00,DEV385,terminal,Python,575
IDE01341,2026-08-01 17:16:00,DEV059,terminal,SQL,1306
IDE00716,2026-08-01 17:19:00,DEV061,coding,Python,356
IDE02853,2026-08-01 17:19:00,DEV036,terminal,SQL,1731
IDE07579,2026-08-01 17:26:00,DEV356,file_open,JavaScript,85
IDE07161,2026-08-01 17:27:00,DEV412,terminal,SQL,1439
IDE03108,2026-08-01 17:30:00,DEV331,file_open,Python,882
IDE08276,2026-08-01 17:30:00,DEV140,debugging,SQL,1788
IDE00895,2026-08-01 17:32:00,DEV406,file_open,SQL,1686
IDE03489,2026-08-01 17:32:00,DEV232,debugging,Python,203
IDE04402,2026-08-01 17:32:00,DEV079,coding,Java,504
IDE05364,2026-08-01 17:38:00,DEV308,testing,TypeScript,866
IDE01389,2026-08-01 17:39:00,DEV353,idle,Java,347
IDE09283,2026-08-01 17:40:00,DEV149,coding,TypeScript,1595
IDE02411,2026-08-01 17:41:00,DEV398,file_open,Python,1008
IDE08809,2026-08-01 17:41:00,DEV315,file_open,TypeScript,313
IDE03829,2026-08-01 17:42:00,DEV418,debugging,JavaScript,934
IDE07923,2026-08-01 17:43:00,DEV396,debugging,TypeScript,1785
IDE09433,2026-08-01 17:46:00,DEV048,idle,Python,112
IDE01123,2026-08-01 17:47:00,DEV063,testing,Java,839
IDE06348,2026-08-01 17:47:00,DEV466,idle,Java,1178
IDE01376,2026-08-01 17:54:00,DEV309,coding,JavaScript,807
IDE05369,2026-08-01 17:55:00,DEV334,debugging,JavaScript,1204
IDE00414,2026-08-01 17:57:00,DEV012,terminal,TypeScript,68
IDE05944,2026-08-01 18:03:00,DEV001,testing,Java,265
IDE02594,2026-08-01 18:07:00,DEV255,terminal,Python,1689
IDE07544,2026-08-01 18:08:00,DEV228,coding,JavaScript,696
IDE08824,2026-08-01 18:11:00,DEV072,terminal,TypeScript,202
IDE07967,2026-08-01 18:17:00,DEV150,terminal,JavaScript,566
IDE04729,2026-08-01 18:18:00,DEV313,idle,JavaScript,1100
IDE01102,2026-08-01 18:23:00,DEV225,terminal,TypeScript,536
IDE03663,2026-08-01 18:23:00,DEV388,testing,SQL,1072
IDE06130,2026-08-01 18:25:00,DEV086,debugging,Java,1087
IDE09391,2026-08-01 18:26:00,DEV403,terminal,TypeScript,1358
IDE08881,2026-08-01 18:27:00,DEV128,testing,Python,602
IDE04779,2026-08-01 18:30:00,DEV159,debugging,TypeScript,847
IDE07863,2026-08-01 18:32:00,DEV178,debugging,Java,1765
IDE06552,2026-08-01 18:33:00,DEV048,debugging,JavaScript,575
IDE01765,2026-08-01 18:34:00,DEV076,testing,TypeScript,406
IDE06840,2026-08-01 18:37:00,DEV220,terminal,Python,1755
IDE08032,2026-08-01 18:39:00,DEV303,debugging,SQL,1285
IDE02831,2026-08-01 18:44:00,DEV055,debugging,Java,1370
IDE04118,2026-08-01 18:51:00,DEV307,file_open,TypeScript,644
IDE07155,2026-08-01 18:51:00,DEV323,coding,TypeScript,148
IDE04398,2026-08-01 18:57:00,DEV284,file_open,Java,796
IDE07794,2026-08-01 18:58:00,DEV380,testing,Python,1453
IDE08440,2026-08-01 18:59:00,DEV119,debugging,TypeScript,1412
IDE09417,2026-08-01 18:59:00,DEV072,testing,SQL,1119
IDE02380,2026-08-01 19:01:00,DEV259,testing,SQL,671
IDE05429,2026-08-01 19:02:00,DEV056,testing,JavaScript,384
IDE00450,2026-08-01 19:03:00,DEV473,idle,SQL,1494
IDE02312,2026-08-01 19:03:00,DEV135,terminal,SQL,85
IDE09507,2026-08-01 19:06:00,DEV009,file_open,Python,224
IDE05110,2026-08-01 19:09:00,DEV355,coding,SQL,107
IDE02811,2026-08-01 19:11:00,DEV406,debugging,SQL,396
IDE07815,2026-08-01 19:12:00,DEV441,file_open,Java,526
IDE02061,2026-08-01 19:13:00,DEV204,coding,SQL,477
IDE03336,2026-08-01 19:19:00,DEV455,file_open,TypeScript,1469
IDE08140,2026-08-01 19:19:00,DEV492,testing,TypeScript,1175
IDE01301,2026-08-01 19:23:00,DEV263,debugging,Python,1783
IDE06649,2026-08-01 19:24:00,DEV466,testing,Python,797
IDE01087,2026-08-01 19:26:00,DEV236,debugging,Python,1691
IDE01332,2026-08-01 19:27:00,DEV026,terminal,Java,708
IDE08362,2026-08-01 19:28:00,DEV425,testing,JavaScript,290
IDE01214,2026-08-01 19:30:00,DEV495,idle,Python,632
IDE02246,2026-08-01 19:32:00,DEV282,testing,Python,925
IDE02068,2026-08-01 19:34:00,DEV233,debugging,Java,773
IDE02197,2026-08-01 19:37:00,DEV463,testing,Java,49
IDE06364,2026-08-01 19:37:00,DEV069,testing,TypeScript,375
IDE06190,2026-08-01 19:39:00,DEV263,testing,SQL,588
IDE08099,2026-08-01 19:42:00,DEV386,coding,Java,1013
IDE08951,2026-08-01 19:45:00,DEV230,terminal,Java,1179
IDE09265,2026-08-01 19:45:00,DEV052,debugging,JavaScript,370
IDE09995,2026-08-01 19:45:00,DEV274,idle,Python,414
IDE00187,2026-08-01 19:46:00,DEV043,terminal,Python,1499
IDE03536,2026-08-01 19:50:00,DEV423,idle,Java,459
IDE05378,2026-08-01 19:52:00,DEV293,testing,JavaScript,1027
IDE02069,2026-08-01 19:53:00,DEV042,testing,Python,853
IDE08720,2026-08-01 19:53:00,DEV337,testing,SQL,737
IDE06577,2026-08-01 19:56:00,DEV212,idle,Java,779
IDE03956,2026-08-01 19:57:00,DEV079,coding,SQL,828
IDE07789,2026-08-01 20:00:00,DEV408,terminal,SQL,1007
IDE01361,2026-08-01 20:01:00,DEV288,idle,Python,1527
IDE02160,2026-08-01 20:03:00,DEV425,file_open,SQL,1378
IDE03165,2026-08-01 20:03:00,DEV176,coding,TypeScript,1174
IDE04462,2026-08-01 20:03:00,DEV022,file_open,JavaScript,1545
IDE09658,2026-08-01 20:04:00,DEV378,file_open,TypeScript,1405
IDE03338,2026-08-01 20:05:00,DEV463,file_open,TypeScript,1414
IDE05251,2026-08-01 20:05:00,DEV032,terminal,SQL,1045
IDE02128,2026-08-01 20:06:00,DEV137,terminal,TypeScript,79
IDE01003,2026-08-01 20:07:00,DEV154,idle,Java,663
IDE09016,2026-08-01 20:08:00,DEV403,debugging,Java,1455
IDE00354,2026-08-01 20:09:00,DEV429,file_open,Java,178
IDE05372,2026-08-01 20:10:00,DEV465,coding,TypeScript,122
IDE00867,2026-08-01 20:11:00,DEV104,coding,TypeScript,689
IDE01167,2026-08-01 20:12:00,DEV019,debugging,Java,1038
IDE07926,2026-08-01 20:13:00,DEV217,idle,SQL,1752
IDE00116,2026-08-01 20:16:00,DEV079,file_open,Java,1015
IDE07575,2026-08-01 20:16:00,DEV073,terminal,SQL,215
IDE08363,2026-08-01 20:16:00,DEV248,debugging,TypeScript,1078
IDE08758,2026-08-01 20:20:00,DEV450,terminal,TypeScript,234
IDE03528,2026-08-01 20:22:00,DEV182,testing,Python,1332
IDE08384,2026-08-01 20:24:00,DEV175,coding,Python,1083
IDE02335,2026-08-01 20:28:00,DEV271,debugging,Python,1545
IDE09910,2026-08-01 20:32:00,DEV130,file_open,Java,1607
IDE00340,2026-08-01 20:36:00,DEV122,debugging,Python,533
IDE06376,2026-08-01 20:40:00,DEV018,terminal,Python,900
IDE03912,2026-08-01 20:41:00,DEV072,testing,Java,1081
IDE07330,2026-08-01 20:43:00,DEV354,debugging,Java,274
IDE08804,2026-08-01 21:02:00,DEV463,idle,TypeScript,1382
IDE09791,2026-08-01 21:02:00,DEV154,coding,JavaScript,1318
IDE04220,2026-08-01 21:03:00,DEV429,file_open,JavaScript,38
IDE00097,2026-08-01 21:07:00,DEV275,coding,SQL,996
IDE07495,2026-08-01 21:10:00,DEV290,coding,Python,247
IDE08833,2026-08-01 21:10:00,DEV343,terminal,TypeScript,1669
IDE04998,2026-08-01 21:12:00,DEV166,coding,TypeScript,1787
IDE08718,2026-08-01 21:12:00,DEV181,debugging,Python,1643
IDE03091,2026-08-01 21:15:00,DEV171,file_open,JavaScript,1530
IDE05885,2026-08-01 21:16:00,DEV460,coding,Java,185
IDE07229,2026-08-01 21:16:00,DEV477,testing,TypeScript,1276
IDE08930,2026-08-01 21:16:00,DEV446,idle,JavaScript,753
IDE02834,2026-08-01 21:17:00,DEV424,debugging,SQL,765
IDE06373,2026-08-01 21:18:00,DEV162,testing,Java,862
IDE09941,2026-08-01 21:21:00,DEV422,file_open,JavaScript,1139
IDE01499,2026-08-01 21:22:00,DEV228,coding,Java,841
IDE08302,2026-08-01 21:22:00,DEV198,debugging,SQL,1631
IDE00461,2026-08-01 21:24:00,DEV001,testing,Java,1780
IDE04192,2026-08-01 21:26:00,DEV282,file_open,JavaScript,1349
IDE03831,2026-08-01 21:28:00,DEV329,coding,Python,1017
IDE08975,2026-08-01 21:28:00,DEV228,file_open,TypeScript,410
IDE00917,2026-08-01 21:30:00,DEV418,coding,JavaScript,248
IDE06017,2026-08-01 21:35:00,DEV007,coding,SQL,1715
IDE05354,2026-08-01 21:36:00,DEV302,coding,JavaScript,183
IDE05458,2026-08-01 21:37:00,DEV039,testing,Java,651
IDE08884,2026-08-01 21:37:00,DEV041,coding,SQL,1769
IDE03965,2026-08-01 21:41:00,DEV466,file_open,Java,1426
IDE00173,2026-08-01 21:42:00,DEV353,coding,JavaScript,1657
IDE05160,2026-08-01 21:47:00,DEV261,testing,TypeScript,1053
IDE06906,2026-08-01 21:47:00,DEV043,debugging,Python,1298
IDE03052,2026-08-01 21:51:00,DEV275,testing,Java,1338
IDE08001,2026-08-01 21:51:00,DEV063,debugging,JavaScript,572
IDE08888,2026-08-01 21:51:00,DEV138,idle,JavaScript,697
IDE08061,2026-08-01 21:52:00,DEV178,coding,JavaScript,55
IDE04563,2026-08-01 21:55:00,DEV200,coding,Java,1525
IDE08399,2026-08-01 21:57:00,DEV046,terminal,JavaScript,878
IDE00479,2026-08-01 21:58:00,DEV446,debugging,Python,874
IDE09517,2026-08-01 21:59:00,DEV026,debugging,TypeScript,850
IDE05000,2026-08-01 22:03:00,DEV376,terminal,TypeScript,684
IDE00810,2026-08-01 22:04:00,DEV090,terminal,Python,1052
IDE05265,2026-08-01 22:05:00,DEV136,debugging,Java,335
IDE05496,2026-08-01 22:05:00,DEV381,idle,SQL,1304
IDE03932,2026-08-01 22:06:00,DEV196,idle,TypeScript,1507
IDE09131,2026-08-01 22:09:00,DEV283,file_open,TypeScript,1451
IDE03766,2026-08-01 22:16:00,DEV182,idle,JavaScript,1705
IDE05181,2026-08-01 22:16:00,DEV217,terminal,SQL,1064
