event_id,timestamp,developer_id,issue_key,issue_type,status,priority,event_type
JR0329,2026-08-02 23:14:00,DEV004,DATA-525,Improvement,In Progress,Medium,status_changed
JR0198,2026-08-03 00:27:00,DEV004,DATA-193,Task,In Progress,Critical,issue_created
JR0267,2026-08-03 00:39:00,DEV001,DEVOPS-545,Story,In Progress,High,comment_added
JR0255,2026-08-03 02:32:00,DEV006,DATA-935,Improvement,To Do,Medium,status_changed
JR0363,2026-08-03 04:16:00,DEV007,COGNI-353,Story,In Progress,Low,issue_created
JR0204,2026-08-03 04:45:00,DEV005,COGNI-361,Story,In Progress,High,comment_added
JR0389,2026-08-03 04:51:00,DEV009,COGNI-540,Story,Code Review,Critical,issue_updated
JR0485,2026-08-03 05:20:00,DEV001,COGNI-752,Bug,In Progress,High,comment_added
JR0052,2026-08-03 06:14:00,DEV004,DATA-416,Bug,Done,Medium,issue_assigned
JR0455,2026-08-03 06:19:00,DEV002,COGNI-287,Improvement,To Do,High,issue_updated
JR0126,2026-08-03 06:39:00,DEV005,DEVOPS-503,Task,Done,Critical,comment_added
JR0413,2026-08-03 06:55:00,DEV006,DATA-306,Story,Done,Critical,issue_created
JR0138,2026-08-03 07:08:00,DEV002,DEVOPS-294,Bug,In Progress,Medium,status_changed
JR0408,2026-08-03 07:47:00,DEV008,DATA-198,Task,In Progress,Medium,issue_updated
JR0062,2026-08-03 07:54:00,DEV005,COGNI-520,Bug,To Do,Critical,comment_added
JR0337,2026-08-03 08:23:00,DEV009,DATA-996,Bug,To Do,Low,issue_updated
JR0464,2026-08-03 08:25:00,DEV006,DEVOPS-215,Improvement,Testing,High,comment_added
JR0318,2026-08-03 09:37:00,DEV001,DATA-560,Story,In Progress,Low,issue_created
JR0432,2026-08-03 10:28:00,DEV005,DATA-636,Improvement,In Progress,High,comment_added
JR0279,2026-08-03 10:35:00,DEV003,DEVOPS-289,Task,Testing,High,issue_assigned
JR0068,2026-08-03 10:39:00,DEV001,COGNI-229,Bug,Code Review,Low,comment_added
JR0236,2026-08-03 12:17:00,DEV001,DEVOPS-513,Story,Code Review,Medium,issue_assigned
JR0456,2026-08-03 12:25:00,DEV002,DATA-662,Task,Testing,Critical,issue_updated
JR0441,2026-08-03 12:52:00,DEV007,COGNI-612,Bug,To Do,High,status_changed
JR0045,2026-08-03 13:15:00,DEV005,DATA-385,Bug,Done,High,issue_created
JR0006,2026-08-03 13:19:00,DEV008,DATA-295,Bug,In Progress,High,status_changed
JR0249,2026-08-03 13:46:00,DEV010,DATA-163,Task,In Progress,High,issue_created
JR0271,2026-08-03 14:31:00,DEV006,DATA-824,Task,Done,Low,issue_updated
JR0257,2026-08-03 14:38:00,DEV002,DATA-344,Bug,Done,Medium,comment_added
JR0205,2026-08-03 16:56:00,DEV001,DATA-951,Improvement,Testing,Low,status_changed
JR0060,2026-08-03 16:57:00,DEV008,DEVOPS-362,Bug,Code Review,Low,issue_created
JR0477,2026-08-03 17:13:00,DEV003,COGNI-191,Task,Code Review,Low,issue_assigned
JR0310,2026-08-03 18:27:00,DEV002,DEVOPS-188,Story,Testing,Medium,comment_added
JR0287,2026-08-03 19:10:00,DEV003,DEVOPS-387,Task,In Progress,Low,issue_updated
JR0118,2026-08-03 19:33:00,DEV010,DATA-571,Story,Done,Low,issue_assigned
JR0256,2026-08-03 19:46:00,DEV008,DEVOPS-987,Story,Code Review,Low,issue_created
JR0374,2026-08-03 19:52:00,DEV003,DEVOPS-838,Story,Code Review,Medium,issue_created
JR0314,2026-08-03 20:56:00,DEV005,COGNI-738,Bug,In Progress,Critical,issue_updated
JR0094,2026-08-03 21:16:00,DEV006,DATA-880,Improvement,Testing,High,issue_created
JR0459,2026-08-03 21:53:00,DEV005,COGNI-307,Bug,Done,Medium,issue_created
JR0011,2026-08-03 21:54:00,DEV006,DATA-215,Bug,Done,Low,comment_added
JR0284,2026-08-03 22:22:00,DEV008,COGNI-647,Bug,To Do,Low,issue_updated
JR0021,2026-08-03 22:38:00,DEV006,DATA-608,Bug,To Do,Low,comment_added
JR0080,2026-08-03 23:00:00,DEV005,DATA-849,Task,In Progress,Medium,issue_created
JR0300,2026-08-04 00:06:00,DEV005,DATA-107,Task,Testing,Medium,comment_added
JR0239,2026-08-04 00:22:00,DEV010,COGNI-736,Task,To Do,Low,status_changed
JR0164,2026-08-04 00:26:00,DEV006,COGNI-638,Story,Done,Medium,issue_updated
JR0106,2026-08-04 00:30:00,DEV007,DATA-127,Story,In Progress,Critical,issue_updated
JR0364,2026-08-04 01:27:00,DEV004,DATA-628,Task,Done,Medium,issue_created
JR0495,2026-08-04 02:57:00,DEV001,DEVOPS-393,Bug,In Progress,Low,issue_updated
JR0461,2026-08-04 03:05:00,DEV001,DEVOPS-797,Improvement,To Do,Critical,issue_assigned
JR0168,2026-08-04 04:13:00,DEV005,DEVOPS-439,Bug,Done,Low,issue_updated
JR0350,2026-08-04 04:52:00,DEV001,DEVOPS-170,Story,Code Review,Low,comment_added
JR0305,2026-08-04 05:40:00,DEV002,COGNI-447,Story,In Progress,High,issue_updated
JR0024,2026-08-04 07:38:00,DEV003,COGNI-656,Task,To Do,Low,issue_created
JR0334,2026-08-04 08:37:00,DEV008,COGNI-559,Bug,To Do,Medium,issue_updated
JR0017,2026-08-04 08:55:00,DEV003,DEVOPS-235,Task,Testing,Critical,issue_assigned
JR0264,2026-08-04 09:06:00,DEV005,COGNI-746,Improvement,Code Review,Critical,issue_updated
JR0443,2026-08-04 09:43:00,DEV010,COGNI-516,Story,Testing,Medium,comment_added
JR0315,2026-08-04 10:07:00,DEV006,COGNI-802,Improvement,In Progress,Critical,status_changed
JR0020,2026-08-04 13:13:00,DEV008,DATA-234,Bug,Done,High,issue_updated
JR0291,2026-08-04 13:23:00,DEV003,DATA-875,Task,In Progress,Low,comment_added
JR0359,2026-08-04 13:52:00,DEV001,DATA-330,Task,In Progress,Medium,issue_assigned
JR0240,2026-08-04 14:00:00,DEV004,DATA-270,Story,Testing,Low,issue_updated
JR0387,2026-08-04 14:51:00,DEV002,DEVOPS-700,Task,In Progress,Critical,issue_created
JR0275,2026-08-04 14:56:00,DEV001,DEVOPS-933,Improvement,To Do,Critical,status_changed
JR0307,2026-08-04 17:26:00,DEV001,DEVOPS-118,Task,In Progress,Critical,comment_added
JR0023,2026-08-04 17:36:00,DEV001,DATA-418,Task,Done,Medium,issue_updated
JR0377,2026-08-04 17:49:00,DEV007,DATA-129,Improvement,Code Review,High,issue_created
JR0496,2026-08-04 18:08:00,DEV007,DEVOPS-845,Story,In Progress,Critical,status_changed
JR0219,2026-08-04 18:18:00,DEV009,DEVOPS-527,Bug,Testing,Low,status_changed
JR0437,2026-08-04 19:26:00,DEV001,COGNI-359,Improvement,Done,Medium,issue_assigned
JR0321,2026-08-04 19:41:00,DEV008,COGNI-777,Bug,In Progress,Medium,status_changed
JR0234,2026-08-04 19:59:00,DEV007,COGNI-867,Improvement,Code Review,Critical,issue_updated
JR0175,2026-08-04 22:39:00,DEV001,DATA-834,Improvement,Testing,High,comment_added
JR0215,2026-08-04 22:45:00,DEV005,DATA-231,Story,In Progress,Low,issue_updated
JR0053,2026-08-04 23:03:00,DEV005,COGNI-122,Task,Testing,Critical,issue_updated
JR0397,2026-08-04 23:37:00,DEV002,DATA-378,Story,Testing,High,status_changed
JR0058,2026-08-05 00:24:00,DEV001,COGNI-365,Improvement,Testing,Low,issue_assigned
JR0212,2026-08-05 00:37:00,DEV005,DATA-737,Bug,Done,Critical,status_changed
JR0026,2026-08-05 01:18:00,DEV010,DEVOPS-168,Story,Done,High,issue_updated
JR0266,2026-08-05 02:44:00,DEV006,DEVOPS-641,Story,Code Review,Critical,issue_assigned
JR0358,2026-08-05 03:17:00,DEV006,COGNI-622,Task,In Progress,Low,issue_updated
JR0399,2026-08-05 03:19:00,DEV008,DATA-519,Task,Done,Low,issue_updated
JR0028,2026-08-05 03:33:00,DEV002,COGNI-675,Task,In Progress,Critical,issue_assigned
JR0418,2026-08-05 04:11:00,DEV005,COGNI-344,Task,In Progress,Critical,comment_added
JR0127,2026-08-05 04:19:00,DEV002,DATA-276,Task,Code Review,Critical,issue_assigned
JR0115,2026-08-05 05:18:00,DEV010,DATA-699,Task,Done,Low,status_changed
JR0074,2026-08-05 05:22:00,DEV006,COGNI-445,Story,To Do,Medium,issue_created
JR0160,2026-08-05 05:22:00,DEV008,COGNI-541,Bug,Testing,Medium,status_changed
JR0093,2026-08-05 05:24:00,DEV005,DATA-734,Improvement,Code Review,Medium,status_changed
JR0306,2026-08-05 05:51:00,DEV002,COGNI-252,Bug,Code Review,Medium,issue_assigned
JR0412,2026-08-05 05:54:00,DEV004,COGNI-747,Task,Testing,Low,issue_updated
JR0207,2026-08-05 06:18:00,DEV010,COGNI-276,Improvement,To Do,High,comment_added
JR0407,2026-08-05 06:35:00,DEV004,DEVOPS-830,Story,Code Review,Critical,issue_updated
JR0112,2026-08-05 07:10:00,DEV005,DATA-863,Task,Code Review,Low,issue_created
JR0440,2026-08-05 07:12:00,DEV009,DATA-222,Story,Code Review,Medium,issue_updated
JR0421,2026-08-05 08:25:00,DEV007,COGNI-611,Improvement,Done,Critical,issue_created
JR0092,2026-08-05 08:38:00,DEV006,COGNI-592,Story,To Do,Low,issue_created
JR0428,2026-08-05 09:45:00,DEV006,COGNI-795,Task,Testing,Critical,issue_assigned
JR0061,2026-08-05 10:09:00,DEV006,DATA-978,Improvement,Code Review,Critical,issue_updated
JR0403,2026-08-05 10:38:00,DEV009,DATA-247,Improvement,Testing,High,comment_added
JR0471,2026-08-05 11:22:00,DEV008,DATA-989,Improvement,In Progress,Low,issue_created
JR0278,2026-08-05 13:06:00,DEV004,DATA-879,Story,In Progress,Medium,issue_updated
JR0136,2026-08-05 14:15:00,DEV008,DEVOPS-720,Story,Code Review,Low,issue_assigned
JR0210,2026-08-05 14:49:00,DEV002,DATA-357,Improvement,In Progress,Low,issue_updated
JR0323,2026-08-05 14:53:00,DEV001,DEVOPS-204,Story,Testing,High,issue_updated
JR0332,2026-08-05 15:46:00,DEV004,DEVOPS-294,Task,In Progress,High,issue_assigned
JR0289,2026-08-05 15:52:00,DEV009,COGNI-582,Task,Done,Medium,status_changed
JR0213,2026-08-05 16:14:00,DEV003,COGNI-107,Bug,Code Review,Low,issue_created
JR0342,2026-08-05 16:19:00,DEV010,DEVOPS-996,Story,Done,Medium,issue_assigned
JR0226,2026-08-05 16:45:00,DEV008,DEVOPS-485,Task,Code Review,High,issue_created
JR0131,2026-08-05 17:10:00,DEV009,DEVOPS-301,Improvement,To Do,High,issue_updated
JR0250,2026-08-05 17:30:00,DEV001,DATA-577,Improvement,Testing,Critical,issue_created
JR0369,2026-08-05 17:35:00,DEV001,DEVOPS-707,Task,Done,High,issue_updated
JR0048,2026-08-05 18:07:00,DEV010,DATA-537,Story,Testing,High,issue_created
JR0338,2026-08-05 18:32:00,DEV003,DEVOPS-825,Story,Done,Low,issue_assigned
JR0325,2026-08-05 18:58:00,DEV003,DATA-670,Bug,Testing,High,status_changed
JR0179,2026-08-05 19:36:00,DEV002,COGNI-343,Bug,To Do,Medium,issue_updated
JR0295,2026-08-05 19:36:00,DEV010,COGNI-245,Improvement,Testing,High,status_changed
JR0209,2026-08-05 19:44:00,DEV002,DATA-125,Bug,Code Review,Low,issue_updated
JR0258,2026-08-05 21:54:00,DEV005,DATA-841,Improvement,Done,Low,issue_created
JR0404,2026-08-05 21:54:00,DEV007,DATA-808,Bug,Testing,Low,issue_created
JR0345,2026-08-05 22:06:00,DEV004,COGNI-850,Task,Code Review,High,issue_assigned
JR0476,2026-08-05 22:29:00,DEV010,DEVOPS-435,Improvement,Testing,Critical,issue_created
JR0301,2026-08-05 22:30:00,DEV010,COGNI-169,Bug,Code Review,Medium,status_changed
JR0274,2026-08-05 23:16:00,DEV006,DEVOPS-906,Bug,Code Review,Medium,comment_added
JR0140,2026-08-05 23:49:00,DEV010,COGNI-864,Task,Testing,High,issue_created
JR0113,2026-08-06 00:08:00,DEV003,DATA-109,Improvement,Done,Medium,issue_created
JR0157,2026-08-06 00:36:00,DEV002,COGNI-590,Task,Code Review,Critical,status_changed
JR0114,2026-08-06 00:45:00,DEV008,COGNI-181,Improvement,Code Review,Low,issue_created
JR0223,2026-08-06 01:29:00,DEV002,COGNI-270,Improvement,Code Review,Critical,status_changed
JR0199,2026-08-06 01:34:00,DEV001,DEVOPS-395,Improvement,Testing,Low,issue_assigned
JR0071,2026-08-06 01:39:00,DEV006,DATA-233,Task,Testing,Low,issue_created
JR0089,2026-08-06 02:10:00,DEV003,COGNI-246,Improvement,To Do,Critical,issue_created
JR0409,2026-08-06 03:00:00,DEV010,COGNI-449,Story,Testing,Medium,comment_added
JR0228,2026-08-06 03:22:00,DEV008,DATA-727,Improvement,Done,Low,issue_created
JR0316,2026-08-06 04:36:00,DEV007,DATA-262,Bug,Done,Critical,comment_added
JR0263,2026-08-06 05:27:00,DEV001,DATA-744,Improvement,Code Review,Medium,issue_assigned
JR0468,2026-08-06 06:27:00,DEV003,COGNI-278,Bug,To Do,High,issue_assigned
JR0489,2026-08-06 06:52:00,DEV001,DATA-760,Story,Testing,Medium,issue_updated
JR0283,2026-08-06 07:59:00,DEV003,DATA-350,Improvement,Code Review,Medium,status_changed
JR0181,2026-08-06 08:05:00,DEV001,DATA-994,Story,To Do,Low,issue_updated
JR0084,2026-08-06 08:51:00,DEV008,COGNI-730,Story,In Progress,Low,status_changed
JR0185,2026-08-06 08:51:00,DEV005,DEVOPS-588,Story,To Do,High,comment_added
JR0200,2026-08-06 09:58:00,DEV008,DEVOPS-281,Improvement,Testing,Medium,issue_assigned
JR0162,2026-08-06 10:47:00,DEV010,DEVOPS-763,Task,Code Review,High,issue_updated
JR0110,2026-08-06 11:17:00,DEV005,COGNI-605,Task,Testing,Critical,issue_created
JR0033,2026-08-06 11:53:00,DEV008,DEVOPS-893,Bug,Code Review,Low,issue_assigned
JR0034,2026-08-06 11:53:00,DEV007,DATA-413,Task,Code Review,Critical,issue_created
JR0354,2026-08-06 12:46:00,DEV003,DATA-981,Story,Done,Critical,issue_assigned
JR0155,2026-08-06 12:51:00,DEV007,COGNI-531,Story,To Do,Medium,issue_assigned
JR0454,2026-08-06 16:23:00,DEV005,DEVOPS-304,Bug,To Do,Medium,comment_added
JR0079,2026-08-06 16:43:00,DEV003,COGNI-394,Improvement,Done,Low,status_changed
JR0491,2026-08-06 16:54:00,DEV007,DATA-896,Story,In Progress,Low,issue_assigned
JR0158,2026-08-06 17:22:00,DEV001,DATA-667,Story,To Do,Critical,issue_assigned
JR0083,2026-08-06 18:22:00,DEV003,DATA-735,Task,Code Review,Medium,comment_added
JR0177,2026-08-06 19:08:00,DEV001,DEVOPS-321,Task,In Progress,Low,comment_added
JR0285,2026-08-06 19:46:00,DEV005,DATA-458,Task,In Progress,Critical,comment_added
JR0481,2026-08-06 20:44:00,DEV009,DATA-289,Story,Code Review,Critical,comment_added
JR0247,2026-08-06 21:11:00,DEV009,DEVOPS-809,Improvement,In Progress,Low,issue_updated
JR0343,2026-08-06 22:47:00,DEV003,DATA-184,Improvement,Testing,Low,issue_created
JR0392,2026-08-07 00:47:00,DEV002,DATA-489,Bug,In Progress,Critical,comment_added
JR0251,2026-08-07 01:22:00,DEV005,COGNI-215,Task,Code Review,Low,status_changed
JR0259,2026-08-07 02:18:00,DEV008,DATA-777,Improvement,To Do,High,issue_created
JR0229,2026-08-07 02:24:00,DEV009,DEVOPS-398,Story,To Do,Medium,comment_added
JR0232,2026-08-07 02:31:00,DEV005,DEVOPS-282,Task,In Progress,High,issue_created
JR0244,2026-08-07 02:59:00,DEV007,COGNI-394,Bug,To Do,High,issue_updated
JR0416,2026-08-07 03:35:00,DEV006,DEVOPS-489,Task,To Do,Medium,status_changed
JR0304,2026-08-07 04:05:00,DEV007,DATA-704,Bug,Code Review,Low,status_changed
JR0286,2026-08-07 04:29:00,DEV001,DEVOPS-965,Task,Done,Critical,issue_assigned
JR0117,2026-08-07 06:41:00,DEV008,DEVOPS-239,Story,Testing,High,issue_created
JR0376,2026-08-07 07:00:00,DEV001,DEVOPS-154,Improvement,Done,Medium,status_changed
JR0149,2026-08-07 08:11:00,DEV005,DATA-582,Improvement,To Do,Medium,issue_assigned
JR0378,2026-08-07 09:00:00,DEV007,DATA-183,Bug,Done,Critical,issue_assigned
JR0161,2026-08-07 09:30:00,DEV004,DEVOPS-777,Improvement,Testing,High,comment_added
JR0381,2026-08-07 09:59:00,DEV009,DATA-714,Task,Done,Critical,issue_updated
JR0351,2026-08-07 11:54:00,DEV010,DATA-175,Improvement,Done,Medium,issue_created
JR0102,2026-08-07 12:10:00,DEV004,DEVOPS-535,Bug,Code Review,Low,issue_updated
JR0385,2026-08-07 12:14:00,DEV009,DEVOPS-145,Bug,Done,Medium,comment_added
JR0319,2026-08-07 12:23:00,DEV009,DEVOPS-212,Task,Code Review,High,issue_created
JR0235,2026-08-07 13:10:00,DEV010,DEVOPS-130,Task,To Do,Critical,comment_added
JR0446,2026-08-07 18:16:00,DEV003,COGNI-741,Task,Done,Low,status_changed
JR0004,2026-08-07 19:24:00,DEV010,COGNI-214,Task,Done,Low,issue_assigned
JR0368,2026-08-07 19:54:00,DEV004,DATA-909,Improvement,Testing,Low,issue_created
JR0195,2026-08-07 20:11:00,DEV009,DATA-726,Story,Code Review,Low,issue_updated
JR0458,2026-08-07 20:18:00,DEV010,DATA-384,Story,Code Review,Medium,issue_created
JR0156,2026-08-07 21:10:00,DEV001,COGNI-369,Story,Done,High,issue_updated
JR0051,2026-08-07 22:29:00,DEV010,DEVOPS-643,Bug,Testing,Low,issue_updated
JR0027,2026-08-07 22:40:00,DEV001,COGNI-914,Bug,To Do,Medium,issue_created
JR0493,2026-08-07 22:44:00,DEV006,COGNI-106,Bug,To Do,Low,issue_assigned
JR0336,2026-08-07 22:53:00,DEV004,DATA-210,Story,Testing,Medium,issue_created
JR0002,2026-08-07 23:08:00,DEV001,COGNI-219,Task,To Do,Medium,issue_updated
JR0434,2026-08-07 23:22:00,DEV009,COGNI-669,Improvement,To Do,Critical,issue_created
JR0184,2026-08-07 23:40:00,DEV007,COGNI-261,Task,Done,Critical,comment_added
JR0109,2026-08-07 23:43:00,DEV005,DATA-281,Improvement,Testing,High,status_changed
JR0430,2026-08-07 23:52:00,DEV002,DEVOPS-232,Task,Testing,High,issue_assigned
JR0309,2026-08-08 00:13:00,DEV006,DATA-498,Bug,Testing,Medium,issue_updated
JR0013,2026-08-08 01:23:00,DEV002,DATA-176,Task,Testing,High,status_changed
JR0326,2026-08-08 01:28:00,DEV009,COGNI-998,Story,Code Review,Critical,comment_added
JR0167,2026-08-08 03:26:00,DEV009,DATA-406,Task,Code Review,Low,issue_assigned
JR0248,2026-08-08 04:03:00,DEV006,DATA-532,Task,In Progress,Low,issue_assigned
JR0016,2026-08-08 04:46:00,DEV007,DATA-409,Improvement,To Do,High,issue_assigned
JR0254,2026-08-08 04:46:00,DEV010,DEVOPS-249,Bug,In Progress,High,issue_assigned
JR0055,2026-08-08 05:17:00,DEV010,DATA-247,Improvement,Code Review,Critical,issue_assigned
JR0312,2026-08-08 05:40:00,DEV001,COGNI-197,Story,Testing,Critical,issue_created
JR0137,2026-08-08 05:52:00,DEV006,COGNI-157,Story,To Do,Low,issue_created
JR0317,2026-08-08 06:10:00,DEV005,COGNI-531,Task,Done,Medium,comment_added
JR0003,2026-08-08 06:28:00,DEV007,DEVOPS-514,Story,Code Review,Low,issue_assigned
JR0180,2026-08-08 06:32:00,DEV007,COGNI-955,Improvement,Done,Critical,status_changed
JR0462,2026-08-08 08:13:00,DEV001,DEVOPS-483,Improvement,To Do,Medium,issue_created
JR0142,2026-08-08 08:23:00,DEV006,DATA-374,Bug,In Progress,Critical,issue_assigned
JR0475,2026-08-08 09:14:00,DEV006,COGNI-600,Improvement,Testing,Medium,issue_created
JR0067,2026-08-08 10:29:00,DEV002,DEVOPS-152,Bug,Done,Low,issue_created
JR0098,2026-08-08 12:17:00,DEV003,DEVOPS-317,Improvement,Code Review,Medium,status_changed
JR0349,2026-08-08 12:35:00,DEV002,DEVOPS-755,Improvement,Done,Medium,status_changed
JR0398,2026-08-08 12:40:00,DEV008,COGNI-605,Story,In Progress,Critical,issue_updated
JR0005,2026-08-08 13:15:00,DEV002,DEVOPS-941,Story,To Do,High,comment_added
JR0435,2026-08-08 13:19:00,DEV010,DEVOPS-656,Bug,Done,Low,issue_assigned
JR0357,2026-08-08 14:50:00,DEV010,DATA-605,Task,To Do,Low,issue_assigned
JR0243,2026-08-08 15:19:00,DEV004,DEVOPS-337,Task,Done,High,issue_assigned
JR0449,2026-08-08 15:36:00,DEV009,DATA-296,Task,To Do,High,issue_created
JR0217,2026-08-08 15:37:00,DEV004,DEVOPS-341,Task,To Do,Medium,issue_updated
JR0245,2026-08-08 16:04:00,DEV002,DEVOPS-315,Story,To Do,High,issue_assigned
JR0241,2026-08-08 16:43:00,DEV002,DEVOPS-123,Task,Done,High,issue_created
JR0132,2026-08-08 17:34:00,DEV010,COGNI-869,Task,Code Review,High,issue_updated
JR0371,2026-08-08 17:47:00,DEV005,DEVOPS-827,Story,Testing,Critical,status_changed
JR0237,2026-08-08 19:19:00,DEV008,COGNI-190,Improvement,Done,Critical,issue_created
JR0230,2026-08-08 19:27:00,DEV003,COGNI-347,Bug,To Do,High,comment_added
JR0105,2026-08-08 20:40:00,DEV003,DEVOPS-404,Task,Done,High,issue_created
JR0294,2026-08-08 21:42:00,DEV006,COGNI-960,Task,To Do,High,status_changed
JR0311,2026-08-08 22:05:00,DEV010,DATA-911,Task,To Do,Low,issue_assigned
JR0041,2026-08-08 22:15:00,DEV008,COGNI-986,Improvement,To Do,Low,issue_created
JR0143,2026-08-08 22:49:00,DEV008,DEVOPS-428,Task,Done,Critical,issue_created
JR0352,2026-08-09 00:13:00,DEV005,COGNI-294,Story,In Progress,Medium,status_changed
JR0141,2026-08-09 00:17:00,DEV009,DEVOPS-616,Story,To Do,Critical,status_changed
JR0484,2026-08-09 00:35:00,DEV005,DATA-377,Story,To Do,High,issue_created
JR0253,2026-08-09 01:03:00,DEV009,DEVOPS-158,Story,To Do,Critical,comment_added
JR0036,2026-08-09 02:30:00,DEV008,DATA-105,Task,Code Review,Medium,status_changed
JR0069,2026-08-09 04:22:00,DEV001,DEVOPS-302,Task,Done,Medium,comment_added
JR0439,2026-08-09 04:46:00,DEV004,COGNI-123,Bug,To Do,Critical,comment_added
JR0218,2026-08-09 05:07:00,DEV008,DATA-813,Bug,In Progress,High,status_changed
JR0238,2026-08-09 05:25:00,DEV005,DEVOPS-550,Improvement,To Do,Critical,issue_updated
