event_id,timestamp,developer_id,channel,notification_type
SL03879,2026-08-01 14:21:00,DEV292,project-cognistream,message
SL00559,2026-08-01 14:27:00,DEV477,frontend,message
SL03004,2026-08-01 14:27:00,DEV221,backend,code_review_request
SL03487,2026-08-01 14:28:00,DEV200,frontend,message
SL04714,2026-08-01 14:36:00,DEV256,frontend,ci_cd_alert
SL00837,2026-08-01 14:40:00,DEV430,data-team,ci_cd_alert
SL00254,2026-08-01 14:41:00,DEV348,dev-team,code_review_request
SL00533,2026-08-01 14:49:00,DEV432,backend,message
SL02794,2026-08-01 14:49:00,DEV069,dev-team,message
SL01577,2026-08-01 14:50:00,DEV324,backend,message
SL02708,2026-08-01 14:51:00,DEV139,data-team,deployment_alert
SL00117,2026-08-01 14:56:00,DEV468,frontend,deployment_alert
SL00115,2026-08-01 15:01:00,DEV124,project-cognistream,ci_cd_alert
SL03695,2026-08-01 15:07:00,DEV171,backend,mention
SL02891,2026-08-01 15:13:00,DEV100,project-cognistream,code_review_request
SL03025,2026-08-01 15:14:00,DEV264,engineering,code_review_request
SL04014,2026-08-01 15:20:00,DEV227,data-team,message
SL02977,2026-08-01 15:21:00,DEV380,engineering,ci_cd_alert
SL04440,2026-08-01 15:23:00,DEV279,dev-team,mention
SL04538,2026-08-01 15:28:00,DEV317,frontend,deployment_alert
SL03451,2026-08-01 15:37:00,DEV168,dev-team,mention
SL03426,2026-08-01 15:39:00,DEV232,backend,deployment_alert
SL02189,2026-08-01 15:40:00,DEV161,engineering,message
SL00272,2026-08-01 15:45:00,DEV444,frontend,deployment_alert
SL00784,2026-08-01 15:46:00,DEV044,backend,mention
SL01877,2026-08-01 15:46:00,DEV301,engineering,code_review_request
SL00877,2026-08-01 15:50:00,DEV358,dev-team,deployment_alert
SL00790,2026-08-01 15:55:00,DEV118,data-team,deployment_alert
SL04189,2026-08-01 15:56:00,DEV187,dev-team,deployment_alert
SL01149,2026-08-01 15:58:00,DEV243,frontend,ci_cd_alert
SL02940,2026-08-01 16:00:00,DEV301,frontend,deployment_alert
SL03261,2026-08-01 16:08:00,DEV019,data-team,code_review_request
SL01421,2026-08-01 16:13:00,DEV007,engineering,code_review_request
SL03576,2026-08-01 16:13:00,DEV418,dev-team,ci_cd_alert
SL00815,2026-08-01 16:15:00,DEV121,backend,ci_cd_alert
SL03348,2026-08-01 16:19:00,DEV142,project-cognistream,message
SL02180,2026-08-01 16:22:00,DEV186,data-team,message
SL03384,2026-08-01 16:22:00,DEV182,frontend,ci_cd_alert
SL01412,2026-08-01 16:42:00,DEV289,dev-team,ci_cd_alert
SL01468,2026-08-01 16:46:00,DEV284,data-team,mention
SL04346,2026-08-01 16:47:00,DEV158,frontend,message
SL03128,2026-08-01 16:56:00,DEV098,data-team,ci_cd_alert
SL00142,2026-08-01 16:59:00,DEV087,project-cognistream,mention
SL00049,2026-08-01 17:02:00,DEV096,backend,message
SL01033,2026-08-01 17:05:00,DEV295,data-team,message
SL00731,2026-08-01 17:13:00,DEV160,data-team,message
SL00417,2026-08-01 17:26:00,DEV270,dev-team,code_review_request
SL03295,2026-08-01 17:26:00,DEV287,frontend,deployment_alert
SL02084,2026-08-01 17:41:00,DEV195,data-team,code_review_request
SL01906,2026-08-01 17:42:00,DEV269,data-team,mention
SL04301,2026-08-01 17:42:00,DEV478,project-cognistream,mention
SL03533,2026-08-01 17:45:00,DEV457,engineering,code_review_request
SL03808,2026-08-01 17:45:00,DEV325,backend,deployment_alert
SL04910,2026-08-01 17:48:00,DEV073,dev-team,message
SL00786,2026-08-01 17:54:00,DEV292,engineering,mention
SL04484,2026-08-01 17:57:00,DEV070,project-cognistream,ci_cd_alert
SL04110,2026-08-01 18:00:00,DEV249,dev-team,ci_cd_alert
SL00194,2026-08-01 18:05:00,DEV284,project-cognistream,code_review_request
SL04829,2026-08-01 18:05:00,DEV070,backend,ci_cd_alert
SL00109,2026-08-01 18:10:00,DEV268,dev-team,code_review_request
SL04680,2026-08-01 18:10:00,DEV325,data-team,ci_cd_alert
SL04894,2026-08-01 18:11:00,DEV394,frontend,deployment_alert
SL04995,2026-08-01 18:21:00,DEV412,frontend,mention
SL01624,2026-08-01 18:23:00,DEV429,backend,deployment_alert
SL04654,2026-08-01 18:23:00,DEV453,dev-team,mention
SL02132,2026-08-01 18:26:00,DEV429,dev-team,message
SL01235,2026-08-01 18:31:00,DEV039,project-cognistream,mention
SL02643,2026-08-01 18:37:00,DEV447,project-cognistream,ci_cd_alert
SL02300,2026-08-01 18:38:00,DEV249,frontend,ci_cd_alert
SL01382,2026-08-01 18:43:00,DEV182,engineering,ci_cd_alert
SL04468,2026-08-01 18:52:00,DEV417,data-team,mention
SL00473,2026-08-01 18:54:00,DEV016,project-cognistream,deployment_alert
SL00495,2026-08-01 18:54:00,DEV322,frontend,mention
SL00795,2026-08-01 19:00:00,DEV244,engineering,mention
SL00423,2026-08-01 19:01:00,DEV343,dev-team,code_review_request
SL02747,2026-08-01 19:02:00,DEV004,frontend,message
SL04980,2026-08-01 19:07:00,DEV367,data-team,ci_cd_alert
SL03502,2026-08-01 19:09:00,DEV116,engineering,message
SL03351,2026-08-01 19:11:00,DEV251,dev-team,deployment_alert
SL02960,2026-08-01 19:16:00,DEV181,engineering,deployment_alert
SL02355,2026-08-01 19:25:00,DEV297,project-cognistream,mention
SL00004,2026-08-01 19:27:00,DEV264,backend,deployment_alert
SL00165,2026-08-01 19:35:00,DEV077,dev-team,mention
SL00401,2026-08-01 19:36:00,DEV196,dev-team,deployment_alert
SL00997,2026-08-01 19:36:00,DEV161,backend,message
SL03654,2026-08-01 19:39:00,DEV287,data-team,code_review_request
SL04876,2026-08-01 19:42:00,DEV158,engineering,mention
SL02124,2026-08-01 19:47:00,DEV456,engineering,mention
SL04457,2026-08-01 19:48:00,DEV465,project-cognistream,message
SL03266,2026-08-01 19:49:00,DEV023,frontend,mention
SL00125,2026-08-01 19:52:00,DEV219,project-cognistream,ci_cd_alert
SL04162,2026-08-01 19:53:00,DEV284,project-cognistream,deployment_alert
SL00258,2026-08-01 19:58:00,DEV299,data-team,code_review_request
SL02653,2026-08-01 20:02:00,DEV239,project-cognistream,message
SL04823,2026-08-01 20:10:00,DEV011,engineering,message
SL04338,2026-08-01 20:12:00,DEV062,data-team,code_review_request
SL02710,2026-08-01 20:16:00,DEV260,data-team,deployment_alert
SL01454,2026-08-01 20:20:00,DEV031,frontend,code_review_request
SL04093,2026-08-01 20:23:00,DEV238,data-team,ci_cd_alert
SL03941,2026-08-01 20:28:00,DEV354,dev-team,message
SL01237,2026-08-01 20:29:00,DEV260,data-team,deployment_alert
SL02621,2026-08-01 20:34:00,DEV429,engineering,code_review_request
SL04702,2026-08-01 20:37:00,DEV496,engineering,code_review_request
SL03320,2026-08-01 20:42:00,DEV221,data-team,deployment_alert
SL01673,2026-08-01 20:44:00,DEV223,engineering,code_review_request
SL00324,2026-08-01 20:53:00,DEV190,backend,code_review_request
SL00831,2026-08-01 20:53:00,DEV127,backend,message
SL04411,2026-08-01 20:54:00,DEV030,engineering,message
SL01947,2026-08-01 20:59:00,DEV451,data-team,code_review_request
SL02074,2026-08-01 21:00:00,DEV323,backend,mention
SL04349,2026-08-01 21:01:00,DEV166,project-cognistream,message
SL04365,2026-08-01 21:01:00,DEV138,frontend,message
SL02527,2026-08-01 21:03:00,DEV405,dev-team,mention
SL03595,2026-08-01 21:10:00,DEV346,dev-team,message
SL04414,2026-08-01 21:11:00,DEV437,dev-team,message
SL01255,2026-08-01 21:14:00,DEV010,frontend,deployment_alert
SL00095,2026-08-01 21:16:00,DEV322,project-cognistream,mention
SL01322,2026-08-01 21:18:00,DEV019,project-cognistream,deployment_alert
SL02381,2026-08-01 21:21:00,DEV429,project-cognistream,message
SL00307,2026-08-01 21:27:00,DEV143,frontend,message
SL01016,2026-08-01 21:29:00,DEV348,engineering,deployment_alert
SL03931,2026-08-01 21:29:00,DEV475,project-cognistream,ci_cd_alert
SL00267,2026-08-01 21:30:00,DEV025,engineering,message
SL03200,2026-08-01 21:32:00,DEV191,dev-team,deployment_alert
SL01731,2026-08-01 21:38:00,DEV219,data-team,code_review_request
SL04656,2026-08-01 21:43:00,DEV331,engineering,ci_cd_alert
SL02319,2026-08-01 21:49:00,DEV255,backend,ci_cd_alert
SL04618,2026-08-01 21:53:00,DEV432,project-cognistream,message
SL02219,2026-08-01 21:56:00,DEV054,dev-team,ci_cd_alert
SL01627,2026-08-01 21:57:00,DEV398,project-cognistream,code_review_request
SL00042,2026-08-01 21:58:00,DEV280,frontend,deployment_alert
SL04956,2026-08-01 21:58:00,DEV400,data-team,mention
SL00836,2026-08-01 21:59:00,DEV389,engineering,deployment_alert
SL02724,2026-08-01 22:00:00,DEV371,engineering,deployment_alert
SL01027,2026-08-01 22:09:00,DEV031,backend,deployment_alert
SL02775,2026-08-01 22:10:00,DEV435,backend,ci_cd_alert
SL04692,2026-08-01 22:26:00,DEV423,engineering,message
SL00769,2026-08-01 22:42:00,DEV067,frontend,deployment_alert
SL03885,2026-08-01 22:45:00,DEV400,engineering,code_review_request
SL04824,2026-08-01 22:46:00,DEV213,backend,message
SL03972,2026-08-01 22:51:00,DEV451,frontend,message
SL01285,2026-08-01 22:55:00,DEV330,project-cognistream,code_review_request
SL03431,2026-08-01 22:55:00,DEV264,frontend,message
SL01702,2026-08-01 23:07:00,DEV155,project-cognistream,ci_cd_alert
SL04863,2026-08-01 23:09:00,DEV291,frontend,mention
SL01265,2026-08-01 23:17:00,DEV485,frontend,ci_cd_alert
SL01520,2026-08-01 23:18:00,DEV328,backend,deployment_alert
SL02283,2026-08-01 23:28:00,DEV383,data-team,ci_cd_alert
SL02892,2026-08-01 23:35:00,DEV325,dev-team,ci_cd_alert
SL00828,2026-08-01 23:40:00,DEV158,project-cognistream,message
SL02505,2026-08-01 23:44:00,DEV460,engineering,mention
SL04848,2026-08-01 23:44:00,DEV131,frontend,code_review_request
SL01650,2026-08-01 23:54:00,DEV139,frontend,code_review_request
SL02641,2026-08-02 00:02:00,DEV478,dev-team,ci_cd_alert
SL03126,2026-08-02 00:05:00,DEV057,data-team,deployment_alert
SL02873,2026-08-02 00:07:00,DEV365,project-cognistream,mention
SL03702,2026-08-02 00:09:00,DEV381,backend,deployment_alert
SL01092,2026-08-02 00:10:00,DEV072,project-cognistream,deployment_alert
SL00183,2026-08-02 00:17:00,DEV232,engineering,mention
SL01359,2026-08-02 00:20:00,DEV394,engineering,message
SL03062,2026-08-02 00:21:00,DEV143,project-cognistream,code_review_request
SL01930,2026-08-02 00:36:00,DEV151,project-cognistream,deployment_alert
SL03065,2026-08-02 00:38:00,DEV012,project-cognistream,message
SL00124,2026-08-02 00:40:00,DEV314,engineering,message
SL03307,2026-08-02 00:40:00,DEV103,frontend,code_review_request
SL00152,2026-08-02 00:43:00,DEV349,engineering,ci_cd_alert
SL01974,2026-08-02 00:43:00,DEV378,frontend,deployment_alert
SL04009,2026-08-02 00:46:00,DEV469,project-cognistream,ci_cd_alert
SL04754,2026-08-02 00:50:00,DEV377,dev-team,message
SL04428,2026-08-02 00:55:00,DEV076,engineering,mention
SL03875,2026-08-02 00:56:00,DEV403,frontend,message
SL02393,2026-08-02 00:57:00,DEV377,project-cognistream,mention
SL02698,2026-08-02 01:02:00,DEV059,backend,ci_cd_alert
SL02983,2026-08-02 01:03:00,DEV003,backend,mention
SL02303,2026-08-02 01:05:00,DEV101,frontend,ci_cd_alert
SL04990,2026-08-02 01:11:00,DEV192,project-cognistream,message
SL04677,2026-08-02 01:18:00,DEV237,data-team,message
SL01533,2026-08-02 01:21:00,DEV033,project-cognistream,deployment_alert
SL01348,2026-08-02 01:28:00,DEV423,project-cognistream,message
SL04070,2026-08-02 01:28:00,DEV198,project-cognistream,ci_cd_alert
SL04425,2026-08-02 01:30:00,DEV219,engineering,code_review_request
SL00222,2026-08-02 01:34:00,DEV063,dev-team,ci_cd_alert
SL00175,2026-08-02 01:35:00,DEV149,project-cognistream,mention
SL01238,2026-08-02 01:37:00,DEV152,backend,mention
SL03528,2026-08-02 01:41:00,DEV371,engineering,code_review_request
SL04639,2026-08-02 01:48:00,DEV017,frontend,deployment_alert
SL02399,2026-08-02 01:57:00,DEV224,engineering,code_review_request
SL01750,2026-08-02 01:59:00,DEV326,data-team,mention
SL02318,2026-08-02 02:03:00,DEV250,engineering,message
SL04393,2026-08-02 02:07:00,DEV299,engineering,mention
SL02776,2026-08-02 02:09:00,DEV084,frontend,code_review_request
SL02851,2026-08-02 02:15:00,DEV208,engineering,message
SL02097,2026-08-02 02:18:00,DEV228,dev-team,ci_cd_alert
SL02424,2026-08-02 02:25:00,DEV191,project-cognistream,ci_cd_alert
SL00857,2026-08-02 02:29:00,DEV457,frontend,ci_cd_alert
SL02391,2026-08-02 02:34:00,DEV246,data-team,deployment_alert
SL01303,2026-08-02 02:45:00,DEV485,dev-team,ci_cd_alert
SL00110,2026-08-02 02:46:00,DEV463,frontend,mention
SL04994,2026-08-02 02:47:00,DEV056,project-cognistream,code_review_request
SL02477,2026-08-02 02:50:00,DEV141,data-team,ci_cd_alert
SL03669,2026-08-02 03:00:00,DEV175,dev-team,deployment_alert
SL01247,2026-08-02 03:02:00,DEV227,project-cognistream,code_review_request
SL01991,2026-08-02 03:04:00,DEV083,frontend,mention
SL03869,2026-08-02 03:08:00,DEV082,project-cognistream,code_review_request
SL02552,2026-08-02 03:09:00,DEV044,dev-team,mention
SL03670,2026-08-02 03:12:00,DEV284,frontend,ci_cd_alert
SL00032,2026-08-02 03:14:00,DEV048,data-team,mention
SL01701,2026-08-02 03:18:00,DEV142,data-team,deployment_alert
SL01995,2026-08-02 03:20:00,DEV376,project-cognistream,mention
SL03883,2026-08-02 03:23:00,DEV322,frontend,deployment_alert
SL00972,2026-08-02 03:27:00,DEV330,dev-team,message
SL02810,2026-08-02 03:30:00,DEV410,frontend,ci_cd_alert
SL04041,2026-08-02 03:34:00,DEV183,dev-team,deployment_alert
SL04580,2026-08-02 03:34:00,DEV393,frontend,mention
SL03151,2026-08-02 03:52:00,DEV266,dev-team,deployment_alert
SL01389,2026-08-02 04:04:00,DEV163,project-cognistream,message
SL02858,2026-08-02 04:04:00,DEV243,backend,deployment_alert
SL04291,2026-08-02 04:11:00,DEV169,data-team,message
SL03311,2026-08-02 04:12:00,DEV335,backend,mention
SL02928,2026-08-02 04:18:00,DEV051,backend,message
SL04210,2026-08-02 04:18:00,DEV029,backend,mention
SL02580,2026-08-02 04:21:00,DEV194,dev-team,code_review_request
SL04225,2026-08-02 04:32:00,DEV123,data-team,message
SL04340,2026-08-02 04:41:00,DEV033,backend,message
SL01993,2026-08-02 04:42:00,DEV240,engineering,message
SL00716,2026-08-02 04:49:00,DEV318,frontend,code_review_request
SL01924,2026-08-02 04:49:00,DEV072,data-team,code_review_request
SL00567,2026-08-02 04:52:00,DEV365,data-team,deployment_alert
SL04143,2026-08-02 04:53:00,DEV386,frontend,code_review_request
SL02843,2026-08-02 04:57:00,DEV010,project-cognistream,code_review_request
SL04573,2026-08-02 04:57:00,DEV284,dev-team,code_review_request
SL00871,2026-08-02 05:03:00,DEV136,engineering,ci_cd_alert
SL03143,2026-08-02 05:03:00,DEV041,data-team,mention
SL04543,2026-08-02 05:08:00,DEV180,project-cognistream,ci_cd_alert
SL04507,2026-08-02 05:10:00,DEV303,backend,message
SL04244,2026-08-02 05:12:00,DEV005,engineering,mention
SL00873,2026-08-02 05:13:00,DEV026,project-cognistream,code_review_request
SL02773,2026-08-02 05:13:00,DEV219,engineering,code_review_request
SL02927,2026-08-02 05:14:00,DEV399,engineering,ci_cd_alert
SL02899,2026-08-02 05:15:00,DEV245,backend,mention
SL00309,2026-08-02 05:19:00,DEV226,project-cognistream,deployment_alert
SL03002,2026-08-02 05:29:00,DEV313,backend,deployment_alert
SL04218,2026-08-02 05:35:00,DEV454,project-cognistream,deployment_alert
SL00027,2026-08-02 05:44:00,DEV076,engineering,message
SL00119,2026-08-02 05:46:00,DEV349,engineering,mention
SL03786,2026-08-02 06:00:00,DEV014,backend,ci_cd_alert
SL02105,2026-08-02 06:02:00,DEV458,dev-team,ci_cd_alert
SL00001,2026-08-02 06:03:00,DEV147,data-team,mention
SL00177,2026-08-02 06:05:00,DEV380,frontend,ci_cd_alert
SL02277,2026-08-02 06:07:00,DEV232,engineering,ci_cd_alert
SL03728,2026-08-02 06:07:00,DEV492,frontend,ci_cd_alert
SL00281,2026-08-02 06:10:00,DEV281,backend,mention
SL02104,2026-08-02 06:12:00,DEV493,project-cognistream,deployment_alert
SL03922,2026-08-02 06:13:00,DEV107,project-cognistream,message
SL00599,2026-08-02 06:18:00,DEV165,backend,deployment_alert
SL03198,2026-08-02 06:20:00,DEV152,frontend,mention
SL00299,2026-08-02 06:24:00,DEV168,project-cognistream,ci_cd_alert
SL00360,2026-08-02 06:30:00,DEV011,backend,code_review_request
SL04796,2026-08-02 06:34:00,DEV265,engineering,message
SL04318,2026-08-02 06:38:00,DEV002,data-team,ci_cd_alert
SL03663,2026-08-02 06:40:00,DEV393,data-team,message
SL01330,2026-08-02 06:42:00,DEV179,frontend,mention
SL00654,2026-08-02 06:48:00,DEV085,project-cognistream,mention
SL02188,2026-08-02 06:58:00,DEV065,backend,deployment_alert
SL01207,2026-08-02 07:04:00,DEV159,dev-team,message
SL01455,2026-08-02 07:08:00,DEV217,dev-team,mention
SL04286,2026-08-02 07:08:00,DEV090,project-cognistream,code_review_request
SL02918,2026-08-02 07:11:00,DEV304,project-cognistream,deployment_alert
SL03858,2026-08-02 07:16:00,DEV328,engineering,code_review_request
SL04522,2026-08-02 07:16:00,DEV074,dev-team,ci_cd_alert
SL02152,2026-08-02 07:18:00,DEV306,project-cognistream,mention
SL03769,2026-08-02 07:18:00,DEV316,dev-team,mention
SL00551,2026-08-02 07:21:00,DEV312,dev-team,code_review_request
SL03471,2026-08-02 07:26:00,DEV020,backend,mention
SL02547,2026-08-02 07:32:00,DEV435,data-team,deployment_alert
SL03438,2026-08-02 07:32:00,DEV453,data-team,message
SL01010,2026-08-02 07:33:00,DEV007,backend,deployment_alert
SL02742,2026-08-02 07:41:00,DEV308,data-team,mention
SL03398,2026-08-02 07:45:00,DEV427,backend,deployment_alert
SL01922,2026-08-02 07:52:00,DEV065,project-cognistream,ci_cd_alert
SL03178,2026-08-02 08:00:00,DEV304,project-cognistream,mention
SL02839,2026-08-02 08:06:00,DEV092,dev-team,deployment_alert
SL03568,2026-08-02 08:06:00,DEV152,data-team,ci_cd_alert
SL02869,2026-08-02 08:08:00,DEV388,dev-team,mention
SL04208,2026-08-02 08:15:00,DEV205,project-cognistream,deployment_alert
SL00677,2026-08-02 08:26:00,DEV244,dev-team,code_review_request
SL04524,2026-08-02 08:28:00,DEV115,engineering,message
SL02772,2026-08-02 08:32:00,DEV374,frontend,code_review_request
SL01610,2026-08-02 08:33:00,DEV034,engineering,code_review_request
SL03531,2026-08-02 08:36:00,DEV066,engineering,mention
SL04160,2026-08-02 08:44:00,DEV260,project-cognistream,ci_cd_alert
SL04685,2026-08-02 08:44:00,DEV456,frontend,ci_cd_alert
SL02949,2026-08-02 08:51:00,DEV241,dev-team,code_review_request
SL03411,2026-08-02 08:55:00,DEV215,engineering,deployment_alert
SL04946,2026-08-02 09:09:00,DEV239,project-cognistream,message
SL03099,2026-08-02 09:13:00,DEV433,data-team,mention
SL00505,2026-08-02 09:19:00,DEV338,data-team,mention
SL04892,2026-08-02 09:24:00,DEV064,project-cognistream,mention
SL02736,2026-08-02 09:30:00,DEV041,backend,message
SL02257,2026-08-02 09:33:00,DEV163,dev-team,ci_cd_alert
SL02339,2026-08-02 09:34:00,DEV273,dev-team,code_review_request
SL02513,2026-08-02 09:35:00,DEV426,frontend,ci_cd_alert
SL04321,2026-08-02 09:44:00,DEV227,data-team,code_review_request
SL01018,2026-08-02 09:47:00,DEV397,data-team,message
SL00492,2026-08-02 09:52:00,DEV409,frontend,deployment_alert
SL00499,2026-08-02 09:57:00,DEV082,backend,mention
SL01023,2026-08-02 09:58:00,DEV380,data-team,message
SL03585,2026-08-02 09:58:00,DEV019,frontend,code_review_request
SL02491,2026-08-02 10:02:00,DEV229,backend,deployment_alert
SL04029,2026-08-02 10:02:00,DEV129,frontend,ci_cd_alert
SL01376,2026-08-02 10:04:00,DEV237,frontend,deployment_alert
SL00411,2026-08-02 10:09:00,DEV087,frontend,message
SL01003,2026-08-02 10:13:00,DEV154,data-team,deployment_alert
SL00389,2026-08-02 10:20:00,DEV100,project-cognistream,ci_cd_alert
SL02814,2026-08-02 10:21:00,DEV391,backend,code_review_request
SL00966,2026-08-02 10:27:00,DEV039,dev-team,ci_cd_alert
SL00243,2026-08-02 10:31:00,DEV006,project-cognistream,code_review_request
SL01773,2026-08-02 10:36:00,DEV165,dev-team,ci_cd_alert
SL03476,2026-08-02 10:37:00,DEV389,engineering,mention
SL00343,2026-08-02 10:41:00,DEV428,frontend,message
SL02865,2026-08-02 10:43:00,DEV046,backend,deployment_alert
SL01280,2026-08-02 10:44:00,DEV096,engineering,code_review_request
SL04339,2026-08-02 10:47:00,DEV471,frontend,mention
SL01540,2026-08-02 10:51:00,DEV045,backend,mention
SL04325,2026-08-02 10:56:00,DEV498,project-cognistream,message
SL04578,2026-08-02 10:58:00,DEV075,engineering,code_review_request
SL04582,2026-08-02 10:59:00,DEV476,dev-team,code_review_request
SL00237,2026-08-02 11:04:00,DEV304,engineering,code_review_request
SL01379,2026-08-02 11:07:00,DEV225,backend,ci_cd_alert
SL04531,2026-08-02 11:08:00,DEV228,backend,ci_cd_alert
SL02006,2026-08-02 11:10:00,DEV144,project-cognistream,deployment_alert
SL03635,2026-08-02 11:10:00,DEV062,engineering,message
SL03700,2026-08-02 11:10:00,DEV435,engineering,mention
SL01787,2026-08-02 11:15:00,DEV444,data-team,ci_cd_alert
SL02364,2026-08-02 11:15:00,DEV459,data-team,ci_cd_alert
SL04934,2026-08-02 11:15:00,DEV353,backend,message
SL00590,2026-08-02 11:16:00,DEV315,engineering,message
SL04017,2026-08-02 11:29:00,DEV089,backend,deployment_alert
SL04337,2026-08-02 11:34:00,DEV396,data-team,ci_cd_alert
SL04267,2026-08-02 11:35:00,DEV468,data-team,ci_cd_alert
SL02197,2026-08-02 11:41:00,DEV265,backend,mention
SL04916,2026-08-02 11:42:00,DEV352,engineering,deployment_alert
SL00011,2026-08-02 11:43:00,DEV297,engineering,mention
SL04746,2026-08-02 11:43:00,DEV409,engineering,mention
SL04295,2026-08-02 11:48:00,DEV113,project-cognistream,ci_cd_alert
SL02647,2026-08-02 11:51:00,DEV306,dev-team,ci_cd_alert
SL01501,2026-08-02 12:08:00,DEV038,frontend,message
SL04709,2026-08-02 12:15:00,DEV116,dev-team,message
SL04748,2026-08-02 12:17:00,DEV229,project-cognistream,deployment_alert
SL00018,2026-08-02 12:21:00,DEV449,frontend,ci_cd_alert
SL04698,2026-08-02 12:28:00,DEV277,backend,code_review_request
SL00766,2026-08-02 12:30:00,DEV282,data-team,mention
SL01961,2026-08-02 12:35:00,DEV097,project-cognistream,code_review_request
SL03262,2026-08-02 12:37:00,DEV396,frontend,message
SL03980,2026-08-02 12:41:00,DEV066,dev-team,ci_cd_alert
SL04501,2026-08-02 12:41:00,DEV089,data-team,mention
SL00351,2026-08-02 12:49:00,DEV017,data-team,message
SL02569,2026-08-02 12:55:00,DEV498,dev-team,ci_cd_alert
SL02530,2026-08-02 12:56:00,DEV037,frontend,code_review_request
SL03573,2026-08-02 12:56:00,DEV265,backend,ci_cd_alert
SL02211,2026-08-02 12:57:00,DEV270,backend,code_review_request
SL04675,2026-08-02 12:59:00,DEV004,project-cognistream,mention
